input,input,output
-.50,.00,-.00
-.50,.01,-.50
-.49,-.02,.98
-.49,-.01,.49
-.49,.00,-.00
-.49,.01,-.49
-.49,.02,-.98
-.48,-.02,.96
-.48,-.01,.48
-.48,.00,-.00
-.48,.01,-.48
-.48,.02,-.96
-.47,-.02,.94
-.47,-.01,.47
-.47,.00,-.00
-.47,.01,-.47
-.47,.02,-.94
-.46,-.02,.92
-.46,-.01,.46
-.46,.00,-.00
-.46,.01,-.46
-.46,.02,-.92
-.45,-.02,.90
-.45,-.01,.45
-.45,.00,-.00
-.45,.01,-.45
-.45,.02,-.90
-.44,-.02,.88
-.44,-.01,.44
-.44,.00,-.00
-.44,.01,-.44
-.44,.02,-.88
-.43,-.02,.86
-.43,-.01,.43
-.43,.00,-.00
-.43,.01,-.43
-.43,.02,-.86
-.42,-.02,.84
-.42,-.01,.42
-.42,.00,-.00
-.42,.01,-.42
-.42,.02,-.84
-.41,-.02,.82
-.41,-.01,.41
-.41,.00,-.00
-.41,.01,-.41
-.41,.02,-.82
-.40,-.02,.80
-.40,-.01,.40
-.40,.00,-.00
-.40,.01,-.40
-.40,.02,-.80
-.39,-.02,.78
-.39,-.01,.39
-.39,.00,-.00
-.39,.01,-.39
-.39,.02,-.78
-.38,-.02,.76
-.38,-.01,.38
-.38,.00,-.00
-.38,.01,-.38
-.38,.02,-.76
-.37,-.02,.74
-.37,-.01,.37
-.37,.00,-.00
-.37,.01,-.37
-.37,.02,-.74
-.36,-.02,.72
-.36,-.01,.36
-.36,.00,-.00
-.36,.01,-.36
-.36,.02,-.72
-.35,-.02,.70
-.35,-.01,.35
-.35,.00,-.00
-.35,.01,-.35
-.35,.02,-.70
-.34,-.02,.68
-.34,-.01,.34
-.34,.00,-.00
-.34,.01,-.34
-.34,.02,-.68
-.33,-.03,.99
-.33,-.02,.66
-.33,-.01,.33
-.33,.00,-.00
-.33,.01,-.33
-.33,.02,-.66
-.33,.03,-.99
-.32,-.03,.96
-.32,-.02,.64
-.32,-.01,.32
-.32,.00,-.00
-.32,.01,-.32
-.32,.02,-.64
-.32,.03,-.96
-.31,-.03,.93
-.31,-.02,.62
-.31,-.01,.31
-.31,.00,-.00
-.31,.01,-.31
-.31,.02,-.62
-.31,.03,-.93
-.30,-.03,.90
-.30,-.02,.60
-.30,-.01,.30
-.30,.00,-.00
-.30,.01,-.30
-.30,.02,-.60
-.30,.03,-.90
-.29,-.03,.87
-.29,-.02,.58
-.29,-.01,.29
-.29,.00,-.00
-.29,.01,-.29
-.29,.02,-.58
-.29,.03,-.87
-.28,-.03,.84
-.28,-.02,.56
-.28,-.01,.28
-.28,.00,-.00
-.28,.01,-.28
-.28,.02,-.56
-.28,.03,-.84
-.27,-.03,.81
-.27,-.02,.54
-.27,-.01,.27
-.27,.00,-.00
-.27,.01,-.27
-.27,.02,-.54
-.27,.03,-.81
-.26,-.03,.78
-.26,-.02,.52
-.26,-.01,.26
-.26,.00,-.00
-.26,.01,-.26
-.26,.02,-.52
-.26,.03,-.78
-.25,-.04,1.00
-.25,-.03,.75
-.25,-.02,.50
-.25,-.01,.25
-.25,.00,-.00
-.25,.01,-.25
-.25,.02,-.50
-.25,.03,-.75
-.24,-.04,.96
-.24,-.03,.72
-.24,-.02,.48
-.24,-.01,.24
-.24,.00,-.00
-.24,.01,-.24
-.24,.02,-.48
-.24,.03,-.72
-.24,.04,-.96
-.23,-.04,.92
-.23,-.03,.69
-.23,-.02,.46
-.23,-.01,.23
-.23,.00,-.00
-.23,.01,-.23
-.23,.02,-.46
-.23,.03,-.69
-.23,.04,-.92
-.22,-.04,.88
-.22,-.03,.66
-.22,-.02,.44
-.22,-.01,.22
-.22,.00,-.00
-.22,.01,-.22
-.22,.02,-.44
-.22,.03,-.66
-.22,.04,-.88
-.21,-.04,.84
-.21,-.03,.63
-.21,-.02,.42
-.21,-.01,.21
-.21,.00,-.00
-.21,.01,-.21
-.21,.02,-.42
-.21,.03,-.63
-.21,.04,-.84
-.20,-.05,1.00
-.20,-.04,.80
-.20,-.03,.60
-.20,-.02,.40
-.20,-.01,.20
-.20,.00,-.00
-.20,.01,-.20
-.20,.02,-.40
-.20,.03,-.60
-.20,.04,-.80
-.19,-.05,.95
-.19,-.04,.76
-.19,-.03,.57
-.19,-.02,.38
-.19,-.01,.19
-.19,.00,-.00
-.19,.01,-.19
-.19,.02,-.38
-.19,.03,-.57
-.19,.04,-.76
-.19,.05,-.95
-.18,-.05,.90
-.18,-.04,.72
-.18,-.03,.54
-.18,-.02,.36
-.18,-.01,.18
-.18,.00,-.00
-.18,.01,-.18
-.18,.02,-.36
-.18,.03,-.54
-.18,.04,-.72
-.18,.05,-.90
-.17,-.05,.85
-.17,-.04,.68
-.17,-.03,.51
-.17,-.02,.34
-.17,-.01,.17
-.17,.00,-.00
-.17,.01,-.17
-.17,.02,-.34
-.17,.03,-.51
-.17,.04,-.68
-.17,.05,-.85
-.16,-.06,.96
-.16,-.05,.80
-.16,-.04,.64
-.16,-.03,.48
-.16,-.02,.32
-.16,-.01,.16
-.16,.00,-.00
-.16,.01,-.16
-.16,.02,-.32
-.16,.03,-.48
-.16,.04,-.64
-.16,.05,-.80
-.16,.06,-.96
-.15,-.06,.90
-.15,-.05,.75
-.15,-.04,.60
-.15,-.03,.45
-.15,-.02,.30
-.15,-.01,.15
-.15,.00,-.00
-.15,.01,-.15
-.15,.02,-.30
-.15,.03,-.45
-.15,.04,-.60
-.15,.05,-.75
-.15,.06,-.90
-.14,-.07,.98
-.14,-.06,.84
-.14,-.05,.70
-.14,-.04,.56
-.14,-.03,.42
-.14,-.02,.28
-.14,-.01,.14
-.14,.00,-.00
-.14,.01,-.14
-.14,.02,-.28
-.14,.03,-.42
-.14,.04,-.56
-.14,.05,-.70
-.14,.06,-.84
-.14,.07,-.98
-.13,-.07,.91
-.13,-.06,.78
-.13,-.05,.65
-.13,-.04,.52
-.13,-.03,.39
-.13,-.02,.26
-.13,-.01,.13
-.13,.00,-.00
-.13,.01,-.13
-.13,.02,-.26
-.13,.03,-.39
-.13,.04,-.52
-.13,.05,-.65
-.13,.06,-.78
-.13,.07,-.91
-.12,-.08,.96
-.12,-.07,.84
-.12,-.06,.72
-.12,-.05,.60
-.12,-.04,.48
-.12,-.03,.36
-.12,-.02,.24
-.12,-.01,.12
-.12,.00,-.00
-.12,.01,-.12
-.12,.02,-.24
-.12,.03,-.36
-.12,.04,-.48
-.12,.05,-.60
-.12,.06,-.72
-.12,.07,-.84
-.12,.08,-.96
-.11,-.09,.99
-.11,-.08,.88
-.11,-.07,.77
-.11,-.06,.66
-.11,-.05,.55
-.11,-.04,.44
-.11,-.03,.33
-.11,-.02,.22
-.11,-.01,.11
-.11,.00,-.00
-.11,.01,-.11
-.11,.02,-.22
-.11,.03,-.33
-.11,.04,-.44
-.11,.05,-.55
-.11,.06,-.66
-.11,.07,-.77
-.11,.08,-.88
-.11,.09,-.99
-.10,-.10,1.00
-.10,-.09,.90
-.10,-.08,.80
-.10,-.07,.70
-.10,-.06,.60
-.10,-.05,.50
-.10,-.04,.40
-.10,-.03,.30
-.10,-.02,.20
-.10,-.01,.10
-.10,.00,-.00
-.10,.01,-.10
-.10,.02,-.20
-.10,.03,-.30
-.10,.04,-.40
-.10,.05,-.50
-.10,.06,-.60
-.10,.07,-.70
-.10,.08,-.80
-.10,.09,-.90
-.10,.10,-1.00
-.09,-.11,.99
-.09,-.10,.90
-.09,-.09,.81
-.09,-.08,.72
-.09,-.07,.63
-.09,-.06,.54
-.09,-.05,.45
-.09,-.04,.36
-.09,-.03,.27
-.09,-.02,.18
-.09,-.01,.09
-.09,.00,-.00
-.09,.01,-.09
-.09,.02,-.18
-.09,.03,-.27
-.09,.04,-.36
-.09,.05,-.45
-.09,.06,-.54
-.09,.07,-.63
-.09,.08,-.72
-.09,.09,-.81
-.09,.10,-.90
-.09,.11,-.99
-.08,-.12,.96
-.08,-.11,.88
-.08,-.10,.80
-.08,-.09,.72
-.08,-.08,.64
-.08,-.07,.56
-.08,-.06,.48
-.08,-.05,.40
-.08,-.04,.32
-.08,-.03,.24
-.08,-.02,.16
-.08,-.01,.08
-.08,.00,-.00
-.08,.01,-.08
-.08,.02,-.16
-.08,.03,-.24
-.08,.04,-.32
-.08,.05,-.40
-.08,.06,-.48
-.08,.07,-.56
-.08,.08,-.64
-.08,.09,-.72
-.08,.10,-.80
-.08,.11,-.88
-.08,.12,-.96
-.07,-.14,.98
-.07,-.13,.91
-.07,-.12,.84
-.07,-.11,.77
-.07,-.10,.70
-.07,-.09,.63
-.07,-.08,.56
-.07,-.07,.49
-.07,-.06,.42
-.07,-.05,.35
-.07,-.04,.28
-.07,-.03,.21
-.07,-.02,.14
-.07,-.01,.07
-.07,.00,-.00
-.07,.01,-.07
-.07,.02,-.14
-.07,.03,-.21
-.07,.04,-.28
-.07,.05,-.35
-.07,.06,-.42
-.07,.07,-.49
-.07,.08,-.56
-.07,.09,-.63
-.07,.10,-.70
-.07,.11,-.77
-.07,.12,-.84
-.07,.13,-.91
-.07,.14,-.98
-.06,-.16,.96
-.06,-.15,.90
-.06,-.14,.84
-.06,-.13,.78
-.06,-.12,.72
-.06,-.11,.66
-.06,-.10,.60
-.06,-.09,.54
-.06,-.08,.48
-.06,-.07,.42
-.06,-.06,.36
-.06,-.05,.30
-.06,-.04,.24
-.06,-.03,.18
-.06,-.02,.12
-.06,-.01,.06
-.06,.00,-.00
-.06,.01,-.06
-.06,.02,-.12
-.06,.03,-.18
-.06,.04,-.24
-.06,.05,-.30
-.06,.06,-.36
-.06,.07,-.42
-.06,.08,-.48
-.06,.09,-.54
-.06,.10,-.60
-.06,.11,-.66
-.06,.12,-.72
-.06,.13,-.78
-.06,.14,-.84
-.06,.15,-.90
-.06,.16,-.96
-.05,-.20,1.00
-.05,-.19,.95
-.05,-.18,.90
-.05,-.17,.85
-.05,-.16,.80
-.05,-.15,.75
-.05,-.14,.70
-.05,-.13,.65
-.05,-.12,.60
-.05,-.11,.55
-.05,-.10,.50
-.05,-.09,.45
-.05,-.08,.40
-.05,-.07,.35
-.05,-.06,.30
-.05,-.05,.25
-.05,-.04,.20
-.05,-.03,.15
-.05,-.02,.10
-.05,-.01,.05
-.05,.00,-.00
-.05,.01,-.05
-.05,.02,-.10
-.05,.03,-.15
-.05,.04,-.20
-.05,.05,-.25
-.05,.06,-.30
-.05,.07,-.35
-.05,.08,-.40
-.05,.09,-.45
-.05,.10,-.50
-.05,.11,-.55
-.05,.12,-.60
-.05,.13,-.65
-.05,.14,-.70
-.05,.15,-.75
-.05,.16,-.80
-.05,.17,-.85
-.05,.18,-.90
-.05,.19,-.95
-.05,.20,-1.00
-.04,-.25,1.00
-.04,-.24,.96
-.04,-.23,.92
-.04,-.22,.88
-.04,-.21,.84
-.04,-.20,.80
-.04,-.19,.76
-.04,-.18,.72
-.04,-.17,.68
-.04,-.16,.64
-.04,-.15,.60
-.04,-.14,.56
-.04,-.13,.52
-.04,-.12,.48
-.04,-.11,.44
-.04,-.10,.40
-.04,-.09,.36
-.04,-.08,.32
-.04,-.07,.28
-.04,-.06,.24
-.04,-.05,.20
-.04,-.04,.16
-.04,-.03,.12
-.04,-.02,.08
-.04,-.01,.04
-.04,.00,-.00
-.04,.01,-.04
-.04,.02,-.08
-.04,.03,-.12
-.04,.04,-.16
-.04,.05,-.20
-.04,.06,-.24
-.04,.07,-.28
-.04,.08,-.32
-.04,.09,-.36
-.04,.10,-.40
-.04,.11,-.44
-.04,.12,-.48
-.04,.13,-.52
-.04,.14,-.56
-.04,.15,-.60
-.04,.16,-.64
-.04,.17,-.68
-.04,.18,-.72
-.04,.19,-.76
-.04,.20,-.80
-.04,.21,-.84
-.04,.22,-.88
-.04,.23,-.92
-.04,.24,-.96
-.04,.25,-1.00
-.03,-.33,.99
-.03,-.32,.96
-.03,-.31,.93
-.03,-.30,.90
-.03,-.29,.87
-.03,-.28,.84
-.03,-.27,.81
-.03,-.26,.78
-.03,-.25,.75
-.03,-.24,.72
-.03,-.23,.69
-.03,-.22,.66
-.03,-.21,.63
-.03,-.20,.60
-.03,-.19,.57
-.03,-.18,.54
-.03,-.17,.51
-.03,-.16,.48
-.03,-.15,.45
-.03,-.14,.42
-.03,-.13,.39
-.03,-.12,.36
-.03,-.11,.33
-.03,-.10,.30
-.03,-.09,.27
-.03,-.08,.24
-.03,-.07,.21
-.03,-.06,.18
-.03,-.05,.15
-.03,-.04,.12
-.03,-.03,.09
-.03,-.02,.06
-.03,-.01,.03
-.03,.00,-.00
-.03,.01,-.03
-.03,.02,-.06
-.03,.03,-.09
-.03,.04,-.12
-.03,.05,-.15
-.03,.06,-.18
-.03,.07,-.21
-.03,.08,-.24
-.03,.09,-.27
-.03,.10,-.30
-.03,.11,-.33
-.03,.12,-.36
-.03,.13,-.39
-.03,.14,-.42
-.03,.15,-.45
-.03,.16,-.48
-.03,.17,-.51
-.03,.18,-.54
-.03,.19,-.57
-.03,.20,-.60
-.03,.21,-.63
-.03,.22,-.66
-.03,.23,-.69
-.03,.24,-.72
-.03,.25,-.75
-.03,.26,-.78
-.03,.27,-.81
-.03,.28,-.84
-.03,.29,-.87
-.03,.30,-.90
-.03,.31,-.93
-.03,.32,-.96
-.03,.33,-.99
-.02,-.50,1.00
-.02,-.49,.98
-.02,-.48,.96
-.02,-.47,.94
-.02,-.46,.92
-.02,-.45,.90
-.02,-.44,.88
-.02,-.43,.86
-.02,-.42,.84
-.02,-.41,.82
-.02,-.40,.80
-.02,-.39,.78
-.02,-.38,.76
-.02,-.37,.74
-.02,-.36,.72
-.02,-.35,.70
-.02,-.34,.68
-.02,-.33,.66
-.02,-.32,.64
-.02,-.31,.62
-.02,-.30,.60
-.02,-.29,.58
-.02,-.28,.56
-.02,-.27,.54
-.02,-.26,.52
-.02,-.25,.50
-.02,-.24,.48
-.02,-.23,.46
-.02,-.22,.44
-.02,-.21,.42
-.02,-.20,.40
-.02,-.19,.38
-.02,-.18,.36
-.02,-.17,.34
-.02,-.16,.32
-.02,-.15,.30
-.02,-.14,.28
-.02,-.13,.26
-.02,-.12,.24
-.02,-.11,.22
-.02,-.10,.20
-.02,-.09,.18
-.02,-.08,.16
-.02,-.07,.14
-.02,-.06,.12
-.02,-.05,.10
-.02,-.04,.08
-.02,-.03,.06
-.02,-.02,.04
-.02,-.01,.02
-.02,.00,-.00
-.02,.01,-.02
-.02,.02,-.04
-.02,.03,-.06
-.02,.04,-.08
-.02,.05,-.10
-.02,.06,-.12
-.02,.07,-.14
-.02,.08,-.16
-.02,.09,-.18
-.02,.10,-.20
-.02,.11,-.22
-.02,.12,-.24
-.02,.13,-.26
-.02,.14,-.28
-.02,.15,-.30
-.02,.16,-.32
-.02,.17,-.34
-.02,.18,-.36
-.02,.19,-.38
-.02,.20,-.40
-.02,.21,-.42
-.02,.22,-.44
-.02,.23,-.46
-.02,.24,-.48
-.02,.25,-.50
-.02,.26,-.52
-.02,.27,-.54
-.02,.28,-.56
-.02,.29,-.58
-.02,.30,-.60
-.02,.31,-.62
-.02,.32,-.64
-.02,.33,-.66
-.02,.34,-.68
-.02,.35,-.70
-.02,.36,-.72
-.02,.37,-.74
-.02,.38,-.76
-.02,.39,-.78
-.02,.40,-.80
-.02,.41,-.82
-.02,.42,-.84
-.02,.43,-.86
-.02,.44,-.88
-.02,.45,-.90
-.02,.46,-.92
-.02,.47,-.94
-.02,.48,-.96
-.02,.49,-.98
-.02,.50,-1.00
-.01,-1.00,1.00
-.01,-.99,.99
-.01,-.98,.98
-.01,-.97,.97
-.01,-.96,.96
-.01,-.95,.95
-.01,-.94,.94
-.01,-.93,.93
-.01,-.92,.92
-.01,-.91,.91
-.01,-.90,.90
-.01,-.89,.89
-.01,-.88,.88
-.01,-.87,.87
-.01,-.86,.86
-.01,-.85,.85
-.01,-.84,.84
-.01,-.83,.83
-.01,-.82,.82
-.01,-.81,.81
-.01,-.80,.80
-.01,-.79,.79
-.01,-.78,.78
-.01,-.77,.77
-.01,-.76,.76
-.01,-.75,.75
-.01,-.74,.74
-.01,-.73,.73
-.01,-.72,.72
-.01,-.71,.71
-.01,-.70,.70
-.01,-.69,.69
-.01,-.68,.68
-.01,-.67,.67
-.01,-.66,.66
-.01,-.65,.65
-.01,-.64,.64
-.01,-.63,.63
-.01,-.62,.62
-.01,-.61,.61
-.01,-.60,.60
-.01,-.59,.59
-.01,-.58,.58
-.01,-.57,.57
-.01,-.56,.56
-.01,-.55,.55
-.01,-.54,.54
-.01,-.53,.53
-.01,-.52,.52
-.01,-.51,.51
-.01,-.50,.50
-.01,-.49,.49
-.01,-.48,.48
-.01,-.47,.47
-.01,-.46,.46
-.01,-.45,.45
-.01,-.44,.44
-.01,-.43,.43
-.01,-.42,.42
-.01,-.41,.41
-.01,-.40,.40
-.01,-.39,.39
-.01,-.38,.38
-.01,-.37,.37
-.01,-.36,.36
-.01,-.35,.35
-.01,-.34,.34
-.01,-.33,.33
-.01,-.32,.32
-.01,-.31,.31
-.01,-.30,.30
-.01,-.29,.29
-.01,-.28,.28
-.01,-.27,.27
-.01,-.26,.26
-.01,-.25,.25
-.01,-.24,.24
-.01,-.23,.23
-.01,-.22,.22
-.01,-.21,.21
-.01,-.20,.20
-.01,-.19,.19
-.01,-.18,.18
-.01,-.17,.17
-.01,-.16,.16
-.01,-.15,.15
-.01,-.14,.14
-.01,-.13,.13
-.01,-.12,.12
-.01,-.11,.11
-.01,-.10,.10
-.01,-.09,.09
-.01,-.08,.08
-.01,-.07,.07
-.01,-.06,.06
-.01,-.05,.05
-.01,-.04,.04
-.01,-.03,.03
-.01,-.02,.02
-.01,-.01,.01
-.01,.00,-.00
-.01,.01,-.01
-.01,.02,-.02
-.01,.03,-.03
-.01,.04,-.04
-.01,.05,-.05
-.01,.06,-.06
-.01,.07,-.07
-.01,.08,-.08
-.01,.09,-.09
-.01,.10,-.10
-.01,.11,-.11
-.01,.12,-.12
-.01,.13,-.13
-.01,.14,-.14
-.01,.15,-.15
-.01,.16,-.16
-.01,.17,-.17
-.01,.18,-.18
-.01,.19,-.19
-.01,.20,-.20
-.01,.21,-.21
-.01,.22,-.22
-.01,.23,-.23
-.01,.24,-.24
-.01,.25,-.25
-.01,.26,-.26
-.01,.27,-.27
-.01,.28,-.28
-.01,.29,-.29
-.01,.30,-.30
-.01,.31,-.31
-.01,.32,-.32
-.01,.33,-.33
-.01,.34,-.34
-.01,.35,-.35
-.01,.36,-.36
-.01,.37,-.37
-.01,.38,-.38
-.01,.39,-.39
-.01,.40,-.40
-.01,.41,-.41
-.01,.42,-.42
-.01,.43,-.43
-.01,.44,-.44
-.01,.45,-.45
-.01,.46,-.46
-.01,.47,-.47
-.01,.48,-.48
-.01,.49,-.49
-.01,.50,-.50
-.01,.51,-.51
-.01,.52,-.52
-.01,.53,-.53
-.01,.54,-.54
-.01,.55,-.55
-.01,.56,-.56
-.01,.57,-.57
-.01,.58,-.58
-.01,.59,-.59
-.01,.60,-.60
-.01,.61,-.61
-.01,.62,-.62
-.01,.63,-.63
-.01,.64,-.64
-.01,.65,-.65
-.01,.66,-.66
-.01,.67,-.67
-.01,.68,-.68
-.01,.69,-.69
-.01,.70,-.70
-.01,.71,-.71
-.01,.72,-.72
-.01,.73,-.73
-.01,.74,-.74
-.01,.75,-.75
-.01,.76,-.76
-.01,.77,-.77
-.01,.78,-.78
-.01,.79,-.79
-.01,.80,-.80
-.01,.81,-.81
-.01,.82,-.82
-.01,.83,-.83
-.01,.84,-.84
-.01,.85,-.85
-.01,.86,-.86
-.01,.87,-.87
-.01,.88,-.88
-.01,.89,-.89
-.01,.90,-.90
-.01,.91,-.91
-.01,.92,-.92
-.01,.93,-.93
-.01,.94,-.94
-.01,.95,-.95
-.01,.96,-.96
-.01,.97,-.97
-.01,.98,-.98
-.01,.99,-.99
.00,-1.00,-.00
.00,-.99,-.00
.00,-.98,-.00
.00,-.97,-.00
.00,-.96,-.00
.00,-.95,-.00
.00,-.94,-.00
.00,-.93,-.00
.00,-.92,-.00
.00,-.91,-.00
.00,-.90,-.00
.00,-.89,-.00
.00,-.88,-.00
.00,-.87,-.00
.00,-.86,-.00
.00,-.85,-.00
.00,-.84,-.00
.00,-.83,-.00
.00,-.82,-.00
.00,-.81,-.00
.00,-.80,-.00
.00,-.79,-.00
.00,-.78,-.00
.00,-.77,-.00
.00,-.76,-.00
.00,-.75,-.00
.00,-.74,-.00
.00,-.73,-.00
.00,-.72,-.00
.00,-.71,-.00
.00,-.70,-.00
.00,-.69,-.00
.00,-.68,-.00
.00,-.67,-.00
.00,-.66,-.00
.00,-.65,-.00
.00,-.64,-.00
.00,-.63,-.00
.00,-.62,-.00
.00,-.61,-.00
.00,-.60,-.00
.00,-.59,-.00
.00,-.58,-.00
.00,-.57,-.00
.00,-.56,-.00
.00,-.55,-.00
.00,-.54,-.00
.00,-.53,-.00
.00,-.52,-.00
.00,-.51,-.00
.00,-.50,-.00
.00,-.49,-.00
.00,-.48,-.00
.00,-.47,-.00
.00,-.46,-.00
.00,-.45,-.00
.00,-.44,-.00
.00,-.43,-.00
.00,-.42,-.00
.00,-.41,-.00
.00,-.40,-.00
.00,-.39,-.00
.00,-.38,-.00
.00,-.37,-.00
.00,-.36,-.00
.00,-.35,-.00
.00,-.34,-.00
.00,-.33,-.00
.00,-.32,-.00
.00,-.31,-.00
.00,-.30,-.00
.00,-.29,-.00
.00,-.28,-.00
.00,-.27,-.00
.00,-.26,-.00
.00,-.25,-.00
.00,-.24,-.00
.00,-.23,-.00
.00,-.22,-.00
.00,-.21,-.00
.00,-.20,-.00
.00,-.19,-.00
.00,-.18,-.00
.00,-.17,-.00
.00,-.16,-.00
.00,-.15,-.00
.00,-.14,-.00
.00,-.13,-.00
.00,-.12,-.00
.00,-.11,-.00
.00,-.10,-.00
.00,-.09,-.00
.00,-.08,-.00
.00,-.07,-.00
.00,-.06,-.00
.00,-.05,-.00
.00,-.04,-.00
.00,-.03,-.00
.00,-.02,-.00
.00,-.01,-.00
.00,.00,.00
.00,.01,.00
.00,.02,.00
.00,.03,.00
.00,.04,.00
.00,.05,.00
.00,.06,.00
.00,.07,.00
.00,.08,.00
.00,.09,.00
.00,.10,.00
.00,.11,.00
.00,.12,.00
.00,.13,.00
.00,.14,.00
.00,.15,.00
.00,.16,.00
.00,.17,.00
.00,.18,.00
.00,.19,.00
.00,.20,.00
.00,.21,.00
.00,.22,.00
.00,.23,.00
.00,.24,.00
.00,.25,.00
.00,.26,.00
.00,.27,.00
.00,.28,.00
.00,.29,.00
.00,.30,.00
.00,.31,.00
.00,.32,.00
.00,.33,.00
.00,.34,.00
.00,.35,.00
.00,.36,.00
.00,.37,.00
.00,.38,.00
.00,.39,.00
.00,.40,.00
.00,.41,.00
.00,.42,.00
.00,.43,.00
.00,.44,.00
.00,.45,.00
.00,.46,.00
.00,.47,.00
.00,.48,.00
.00,.49,.00
.00,.50,.00
.00,.51,.00
.00,.52,.00
.00,.53,.00
.00,.54,.00
.00,.55,.00
.00,.56,.00
.00,.57,.00
.00,.58,.00
.00,.59,.00
.00,.60,.00
.00,.61,.00
.00,.62,.00
.00,.63,.00
.00,.64,.00
.00,.65,.00
.00,.66,.00
.00,.67,.00
.00,.68,.00
.00,.69,.00
.00,.70,.00
.00,.71,.00
.00,.72,.00
.00,.73,.00
.00,.74,.00
.00,.75,.00
.00,.76,.00
.00,.77,.00
.00,.78,.00
.00,.79,.00
.00,.80,.00
.00,.81,.00
.00,.82,.00
.00,.83,.00
.00,.84,.00
.00,.85,.00
.00,.86,.00
.00,.87,.00
.00,.88,.00
.00,.89,.00
.00,.90,.00
.00,.91,.00
.00,.92,.00
.00,.93,.00
.00,.94,.00
.00,.95,.00
.00,.96,.00
.00,.97,.00
.00,.98,.00
.00,.99,.00
.01,-.99,-.99
.01,-.98,-.98
.01,-.97,-.97
.01,-.96,-.96
.01,-.95,-.95
.01,-.94,-.94
.01,-.93,-.93
.01,-.92,-.92
.01,-.91,-.91
.01,-.90,-.90
.01,-.89,-.89
.01,-.88,-.88
.01,-.87,-.87
.01,-.86,-.86
.01,-.85,-.85
.01,-.84,-.84
.01,-.83,-.83
.01,-.82,-.82
.01,-.81,-.81
.01,-.80,-.80
.01,-.79,-.79
.01,-.78,-.78
.01,-.77,-.77
.01,-.76,-.76
.01,-.75,-.75
.01,-.74,-.74
.01,-.73,-.73
.01,-.72,-.72
.01,-.71,-.71
